,original,perturbated_noise3_0,upsampled_perturbated_noise3_0,downsampled_perturbated_noise3_0,perturbated_noise10_0,upsampled_perturbated_noise10_0,downsampled_perturbated_noise10_0,perturbated_noise100_0,upsampled_perturbated_noise100_0,downsampled_perturbated_noise100_0,upsampled_0,downsampled_0,perturbated_noise3_1,upsampled_perturbated_noise3_1,downsampled_perturbated_noise3_1,perturbated_noise10_1,upsampled_perturbated_noise10_1,downsampled_perturbated_noise10_1,perturbated_noise100_1,upsampled_perturbated_noise100_1,downsampled_perturbated_noise100_1,upsampled_1,downsampled_1
34117,4,4,1,1,4,1,1,4,1,1,1,1,4,4,6,4,4,6,4,4,6,4,3
34118,3,3,2,2,3,2,2,3,2,2,3,3,3,0,0,3,0,0,3,0,0,10,0
34119,5,5,,,5,,,5,,,,,5,,,5,,,5,,,,
34120,4,4,4,,4,4,,4,4,,5,,4,4,4,4,4,4,4,4,4,4,3
34121,2,2,5,5,2,5,5,2,5,5,20,5,2,2,2,2,2,2,2,2,2,1,2
34122,1,1,7,7,1,7,7,1,7,7,9,7,0,,,0,,,0,,,,
34123,5,5,,,5,,,5,,,,,5,,,5,,,5,,,,
34124,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,2,2,3,2,2,13,2
34125,4,4,5,,4,5,,4,5,,4,,4,4,4,4,4,4,4,4,4,4,3
34126,2,2,4,,2,4,,2,4,,5,,2,0,0,2,0,0,2,0,0,6,13
